eco,name,moves
C00,Французская защита,e2e4 e7e6
C01,Французская защита: вариант обмена,e2e4 e7e6 d2d4 d7d5 e4d5
C02,Французская защита: вариант продвижения,e2e4 e7e6 d2d4 d7d5 e4e5
C10,Французская защита: вариант Рубинштейна,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4
C15,Французская защита: вариант Винавера,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4
D00,Ферзевый гамбит,d2d4 d7d5 c2c4
D02,Лондонская система,d2d4 d7d5 c1f4
B20,Сицилианская защита,e2e4 c7c5
B12,Защита Каро-Канн,e2e4 c7c6
C50,Итальянская партия,e2e4 e7e5 g1f3 b8c6 f1c4
C60,Испанская партия,e2e4 e7e5 g1f3 b8c6 f1b5
